,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
100,1,000001,XSHG,上证指数,11:10,2016/7/1,2937.019,2936.78,2938.271,2936.78,36232800,455220478.3,
101,1,000001,XSHG,上证指数,11:11,2016/7/1,2937.804,2938.217,2938.34,2937.804,38572000,482942747.8,
102,1,000001,XSHG,上证指数,11:12,2016/7/1,2937.94,2938.685,2938.868,2937.924,37907700,451893399.4,
103,1,000001,XSHG,上证指数,11:13,2016/7/1,2937.4,2938.729,2938.729,2937.318,36067000,439873971.5,
104,1,000001,XSHG,上证指数,11:14,2016/7/1,2937.789,2938.251,2938.351,2937.158,34039700,404135839.8,
105,1,000001,XSHG,上证指数,11:15,2016/7/1,2937.642,2938.4,2938.4,2936.513,35551800,436750443.3,
106,1,000001,XSHG,上证指数,11:16,2016/7/1,2936.032,2937.427,2937.427,2935.735,53716100,559193059.4,
107,1,000001,XSHG,上证指数,11:17,2016/7/1,2935.688,2937.101,2937.101,2935.688,42962600,490300116.4,
108,1,000001,XSHG,上证指数,11:18,2016/7/1,2936.209,2936.587,2936.757,2935.457,40514400,446277961.4,
109,1,000001,XSHG,上证指数,11:19,2016/7/1,2935.985,2936.678,2936.678,2935.397,36851000,440745010.5,
110,1,000001,XSHG,上证指数,11:20,2016/7/1,2935.293,2935.814,2936.326,2935.25,35902500,421928216.3,
111,1,000001,XSHG,上证指数,11:21,2016/7/1,2935.918,2935.463,2935.955,2934.885,37589400,453579929.8,
112,1,000001,XSHG,上证指数,11:22,2016/7/1,2935.351,2936.207,2936.207,2934.625,41633700,490493218.8,
113,1,000001,XSHG,上证指数,11:23,2016/7/1,2935.339,2935.834,2936.021,2934.739,39872900,464015580.4,
114,1,000001,XSHG,上证指数,11:24,2016/7/1,2935.246,2935.844,2936.052,2934.532,37496900,446759596.6,
115,1,000001,XSHG,上证指数,11:25,2016/7/1,2935.709,2935.279,2935.885,2934.795,35130100,430616419.7,
116,1,000001,XSHG,上证指数,11:26,2016/7/1,2935.964,2936.052,2936.052,2935.141,33014400,402591684.4,
117,1,000001,XSHG,上证指数,11:27,2016/7/1,2935.488,2935.435,2935.707,2934.974,32728200,402619993.5,
118,1,000001,XSHG,上证指数,11:28,2016/7/1,2936.032,2935.845,2936.032,2934.645,31685000,420910224.8,
119,1,000001,XSHG,上证指数,11:29,2016/7/1,2935.686,2935.638,2935.709,2934.945,35896100,448292610,
120,1,000001,XSHG,上证指数,11:30,2016/7/1,2935.203,2935.207,2935.647,2934.405,37017000,452676618.9,
121,1,000001,XSHG,上证指数,13:01,2016/7/1,2934.133,2935.203,2935.203,2934.133,104361400,1147146558,
122,1,000001,XSHG,上证指数,13:02,2016/7/1,2933.653,2934.319,2934.684,2933.587,36548900,414812773.9,
123,1,000001,XSHG,上证指数,13:03,2016/7/1,2933.736,2934.462,2934.746,2933.413,32844500,407228094.2,
124,1,000001,XSHG,上证指数,13:04,2016/7/1,2932.927,2933.963,2934.149,2932.927,31726600,390029576.9,
125,1,000001,XSHG,上证指数,13:05,2016/7/1,2932.892,2933.873,2933.873,2932.609,33657800,415091003.3,
126,1,000001,XSHG,上证指数,13:06,2016/7/1,2932.182,2933.248,2933.776,2931.913,37855500,469829373.7,
127,1,000001,XSHG,上证指数,13:07,2016/7/1,2931.298,2933.415,2933.415,2931.298,45242700,562399735.8,
128,1,000001,XSHG,上证指数,13:08,2016/7/1,2930.044,2931.885,2931.885,2929.868,48615700,609053523.2,
129,1,000001,XSHG,上证指数,13:09,2016/7/1,2930.036,2930.873,2930.873,2929.27,54536900,636705386.8,
130,1,000001,XSHG,上证指数,13:10,2016/7/1,2930.365,2930.299,2930.365,2929.255,52115700,637769999.1,
131,1,000001,XSHG,上证指数,13:11,2016/7/1,2929.196,2929.944,2930.151,2929.194,51861900,637351862.4,
132,1,000001,XSHG,上证指数,13:12,2016/7/1,2929.096,2929.214,2929.866,2928.882,55669300,624028017.7,
133,1,000001,XSHG,上证指数,13:13,2016/7/1,2928.796,2929.007,2929.603,2928.796,51763100,602585957.3,
134,1,000001,XSHG,上证指数,13:14,2016/7/1,2928.909,2929.117,2929.424,2928.691,54064600,615440626.3,
135,1,000001,XSHG,上证指数,13:15,2016/7/1,2929.582,2928.76,2930.043,2928.76,53615600,586275815.4,
136,1,000001,XSHG,上证指数,13:16,2016/7/1,2930.014,2930.13,2930.581,2929.927,49473600,546557959.4,
137,1,000001,XSHG,上证指数,13:17,2016/7/1,2931.063,2930.634,2931.855,2930.495,41993200,466936067.9,
138,1,000001,XSHG,上证指数,13:18,2016/7/1,2931.67,2931.374,2932.202,2931.374,38691000,461549363.2,
139,1,000001,XSHG,上证指数,13:19,2016/7/1,2932.028,2931.791,2932.238,2931.529,43256200,555089836.4,
140,1,000001,XSHG,上证指数,13:20,2016/7/1,2930.997,2931.948,2932.148,2930.994,47196200,520779173.8,
141,1,000001,XSHG,上证指数,13:21,2016/7/1,2931.156,2932.218,2932.218,2930.485,44139800,503582165.4,
142,1,000001,XSHG,上证指数,13:22,2016/7/1,2930.815,2932.023,2932.023,2930.815,39644400,482271137.5,
143,1,000001,XSHG,上证指数,13:23,2016/7/1,2931.087,2931.592,2931.765,2930.916,36713800,447291703.4,
144,1,000001,XSHG,上证指数,13:24,2016/7/1,2931.124,2932.249,2932.36,2931.124,34809900,422210063,
145,1,000001,XSHG,上证指数,13:25,2016/7/1,2931.525,2931.987,2932.199,2930.881,37613400,455740828.9,
146,1,000001,XSHG,上证指数,13:26,2016/7/1,2930.349,2931.919,2932.023,2930.349,43115200,510682753.4,
147,1,000001,XSHG,上证指数,13:27,2016/7/1,2929.686,2931.54,2931.54,2929.686,49570400,579493518.9,
148,1,000001,XSHG,上证指数,13:28,2016/7/1,2929.646,2930.905,2930.905,2929.572,44461500,520807646,
149,1,000001,XSHG,上证指数,13:29,2016/7/1,2929.871,2929.748,2930.527,2929.349,42791800,509151752,
150,1,000001,XSHG,上证指数,13:30,2016/7/1,2929.721,2930.367,2930.367,2929.647,44436700,499902986.2,
151,1,000001,XSHG,上证指数,13:31,2016/7/1,2929.06,2930.824,2930.824,2929.06,42630700,537539343.8,
152,1,000001,XSHG,上证指数,13:32,2016/7/1,2928.53,2929.276,2929.282,2928.342,60709500,773489808,
153,1,000001,XSHG,上证指数,13:33,2016/7/1,2927.374,2928.119,2928.356,2926.745,81583000,1000821295,
154,1,000001,XSHG,上证指数,13:34,2016/7/1,2926.243,2927.457,2927.503,2926.243,81662300,957754368.2,
155,1,000001,XSHG,上证指数,13:35,2016/7/1,2926.631,2926.587,2927.712,2925.888,85368800,1000337161,
156,1,000001,XSHG,上证指数,13:36,2016/7/1,2927.926,2927.948,2928.117,2927.243,63829900,769366174.8,
157,1,000001,XSHG,上证指数,13:37,2016/7/1,2929.438,2928.986,2929.438,2927.986,55599000,655472458.3,
158,1,000001,XSHG,上证指数,13:38,2016/7/1,2929.976,2929.736,2930.195,2929.267,41446300,526408445.2,
159,1,000001,XSHG,上证指数,13:39,2016/7/1,2930.359,2930.372,2930.799,2930.075,48455800,521566725.3,
160,1,000001,XSHG,上证指数,13:40,2016/7/1,2930.08,2931.371,2931.371,2930.08,40367600,488560863,
161,1,000001,XSHG,上证指数,13:41,2016/7/1,2930.197,2931.346,2931.461,2929.981,39154600,480082939.7,
162,1,000001,XSHG,上证指数,13:42,2016/7/1,2930.528,2930.349,2931.228,2930.043,44482400,512564815,
163,1,000001,XSHG,上证指数,13:43,2016/7/1,2931.093,2931.812,2931.896,2930.523,51714800,530383036.7,
164,1,000001,XSHG,上证指数,13:44,2016/7/1,2931.783,2931.86,2932.196,2930.875,54554500,593092452.4,
165,1,000001,XSHG,上证指数,13:45,2016/7/1,2932.532,2932.436,2932.791,2931.633,55987700,628664558,
166,1,000001,XSHG,上证指数,13:46,2016/7/1,2932.688,2932.805,2933.04,2932.376,46299700,575091057.7,
167,1,000001,XSHG,上证指数,13:47,2016/7/1,2932.962,2933.334,2933.334,2932.124,46191600,539710985.5,
168,1,000001,XSHG,上证指数,13:48,2016/7/1,2931.795,2932.378,2932.933,2931.795,40981400,470435893.2,
169,1,000001,XSHG,上证指数,13:49,2016/7/1,2931.482,2931.924,2932.546,2931.482,41178700,477959288.6,
170,1,000001,XSHG,上证指数,13:50,2016/7/1,2932.254,2932.386,2932.944,2931.704,36606500,426853152.2,
171,1,000001,XSHG,上证指数,13:51,2016/7/1,2932.156,2932.344,2933.258,2932.156,36929000,432666869.9,
172,1,000001,XSHG,上证指数,13:52,2016/7/1,2932.325,2932.733,2933.366,2932.325,39185900,459194389.5,
173,1,000001,XSHG,上证指数,13:53,2016/7/1,2933.1,2932.61,2933.825,2932.61,46836200,509089827.4,
174,1,000001,XSHG,上证指数,13:54,2016/7/1,2933.686,2933.729,2933.994,2933.369,43972400,501258040.5,
175,1,000001,XSHG,上证指数,13:55,2016/7/1,2933.591,2934.7,2934.943,2933.591,46872600,534579680.4,
176,1,000001,XSHG,上证指数,13:56,2016/7/1,2935.995,2934.626,2935.995,2934.443,45108200,531302089.9,
177,1,000001,XSHG,上证指数,13:57,2016/7/1,2934.691,2935.219,2935.665,2934.691,44044700,541487040.3,
